2025-06-17 13:57:39.227 | INFO     | __main__:main:169 - Scraping AMED...
2025-06-17 13:58:21.971 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「医療分野国際科学技術共同研究開発推進事業（Interstellar Ini...
2025-06-17 13:58:23.977 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「医薬品等規制調和・評価研究事業」に係る公募（2次）について...
2025-06-17 13:58:25.983 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「予防・健康づくりの社会実装加速化事業」に係る公募について...
2025-06-17 13:58:27.989 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「医工連携グローバル展開事業（国際展開伴走支援事業）」に係る公募について...
2025-06-17 13:58:29.993 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）	「医工連携グローバル展開事業（研究開発事業）」に係る公募について...
2025-06-17 13:58:31.999 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「予防・健康づくりの社会実装に向けた研究開発基盤整備事業（ヘルスケア社会実装...
2025-06-17 13:58:34.005 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「介護テクノロジー社会実装のためのエビデンス構築事業【環境整備】」に係る公募...
2025-06-17 13:58:36.011 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「ゲノム創薬基盤推進研究事業（ゲノム情報研究の医療への実利用を促進する研究）...
2025-06-17 13:58:38.017 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「予防・健康づくりの社会実装に向けた研究開発基盤整備事業（ヘルスケアサービス...
2025-06-17 13:58:40.019 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和6年度 （情報更新）「介護DXを利用した抜本的現場改善事業」に係る公募について...
2025-06-17 13:58:42.023 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「介護テクノロジー社会実装のためのエビデンス構築事業【海外展開】」に係る公募...
2025-06-17 13:58:44.029 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「介護テクノロジー社会実装のためのエビデンス構築事業【開発補助】」に係る公募...
2025-06-17 13:58:46.035 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「医工連携グローバル展開事業　グローバル進出拠点事業」に係る公募について...
2025-06-17 13:58:48.040 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和6年度 （情報更新）「優れた医療機器の創出に係る産業振興拠点強化事業」に係る公募について...
2025-06-17 13:58:50.044 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「医療分野国際科学技術共同研究開発推進事業 戦略的国際共同研究プログラム（S...
2025-06-17 13:58:52.049 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和6年度 （情報更新）	「デジタルヘルスケア開発・導入加速化事業」に係る公募について...
2025-06-17 13:58:54.056 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「脳神経科学統合プログラム（個別重点研究課題）」に係る公募について...
2025-06-17 13:58:56.057 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「再生・細胞医療・遺伝子治療実現加速化プログラム（疾患特異的iPS細胞を用いた病態解明・...
2025-06-17 13:58:58.064 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「慢性の痛み解明研究事業」に係る公募について...
2025-06-17 13:59:00.069 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和6年度 「新興・再興感染症に対する革新的医薬品等開発推進研究事業」に係る公募（4次）について...
2025-06-17 13:59:02.076 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「次世代ヘルステック・スタートアップ育成支援事業」に係る公募について...
2025-06-17 13:59:04.082 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「創薬支援推進事業・創薬シーズ実用化支援基盤整備事業」に係る公募について...
2025-06-17 13:59:06.087 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）令和7年度 「ゲノム医療実現バイオバンク利活用プログラム（ゲノム医療実現推進...
2025-06-17 13:59:08.093 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「循環器疾患・糖尿病等生活習慣病対策実用化研究事業」に係る公募について...
2025-06-17 13:59:10.098 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和6年度 「再生医療等実用化基盤整備促進事業」に係る公募（3次）について...
2025-06-17 13:59:12.100 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和6年度 「新興・再興感染症に対する革新的医薬品等開発推進研究事業」に係る公募（3次）について...
2025-06-17 13:59:14.105 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）	「創薬ベンチャーエコシステム強化事業（創薬ベンチャー公募）」に係る公募（第...
2025-06-17 13:59:16.110 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「再生・細胞医療・遺伝子治療実現加速化プログラム（再生・細胞医療・遺伝子治療研究開発課題...
2025-06-17 13:59:18.111 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「腎疾患実用化研究事業」に係る公募について...
2025-06-17 13:59:20.112 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「障害者対策総合研究開発事業（身体・知的・感覚器障害分野）」に係る公募につい...
2025-06-17 13:59:22.118 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「障害者対策総合研究開発事業（精神障害分野）」に係る公募について...
2025-06-17 13:59:24.124 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「長寿科学研究開発事業」に係る公募について...
2025-06-17 13:59:26.130 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「スマートバイオ創薬等研究支援事業」に係る公募について...
2025-06-17 13:59:28.132 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）	「免疫アレルギー疾患実用化研究事業」に係る公募について...
2025-06-17 13:59:30.138 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「開発途上国・新興国等における医療技術等実用化研究事業」に係る公募について...
2025-06-17 13:59:32.144 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「再生・細胞医療・遺伝子治療実現加速化プログラム（再生・細胞医療・遺伝子治療研究開発課題...
2025-06-17 13:59:34.146 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「認知症研究開発事業」に係る公募について...
2025-06-17 13:59:36.152 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「医療機器等研究成果展開事業　チャレンジタイプ【若手・女性研究者】」に係る公...
